2017-10-06,21,33,36,45,56,12
2017-10-03,12,18,19,25,67,7
2017-09-29,25,51,62,73,74,7
2017-09-26,1,10,57,66,75,4
2017-09-22,5,39,54,63,66,15
2017-09-19,9,28,31,50,61,10
2017-09-15,18,24,34,38,58,3
2017-09-12,26,37,41,54,65,3
2017-09-08,4,5,14,26,73,14
2017-09-05,11,17,59,70,72,1
2017-09-01,4,13,31,50,64,12
2017-08-29,2,13,17,35,73,3
2017-08-25,17,38,42,51,65,11
2017-08-22,24,35,46,50,51,7
2017-08-18,1,31,34,40,75,6
2017-08-15,7,16,20,66,73,7
2017-08-11,23,33,53,56,58,6
2017-08-08,11,17,50,52,74,14
2017-08-04,9,17,25,63,71,4
2017-08-01,20,22,52,57,73,7
2017-07-28,4,6,31,49,52,11
2017-07-25,2,5,26,58,60,6
2017-07-21,18,31,36,50,74,10
2017-07-18,8,12,23,51,73,6
2017-07-14,11,12,24,32,73,1
2017-07-11,7,18,24,55,74,10
2017-07-07,2,9,11,28,60,10
2017-07-04,16,39,47,53,71,15
2017-06-30,10,38,51,55,64,6
2017-06-27,4,21,45,52,57,14
2017-06-23,12,20,53,66,74,11
2017-06-20,2,15,41,49,63,3
2017-06-16,18,22,26,30,44,9
2017-06-13,27,51,62,68,75,8
2017-06-09,3,16,28,33,37,9
2017-06-06,3,5,16,49,75,5
2017-06-02,7,42,57,69,72,10
2017-05-30,5,20,32,37,67,5
2017-05-26,25,26,28,37,56,5
2017-05-23,6,13,17,33,60,14
2017-05-19,1,4,5,24,30,1
2017-05-16,4,35,39,56,72,11
2017-05-12,28,34,41,42,47,13
2017-05-09,6,29,45,69,73,11
2017-05-05,4,23,33,47,53,7
2017-05-02,5,14,42,43,58,1
2017-04-28,6,13,18,20,31,13
2017-04-25,3,13,33,40,50,2
2017-04-21,1,12,13,32,34,10
2017-04-18,8,29,30,43,64,6
2017-04-14,5,10,55,60,73,12
2017-04-11,19,34,35,38,49,8
2017-04-07,30,33,43,47,69,15
2017-04-04,13,24,34,35,55,9
2017-03-31,17,24,27,32,58,10
2017-03-28,30,33,35,37,46,10
2017-03-24,5,28,37,61,69,1
2017-03-21,4,45,53,73,75,7
2017-03-17,11,27,31,58,60,10
2017-03-14,16,23,28,33,59,13
2017-03-10,26,38,42,58,70,5
2017-03-07,3,30,45,53,68,11
2017-03-03,14,26,39,48,51,9
2017-02-28,20,33,45,58,69,4
2017-02-24,12,29,33,42,68,14
2017-02-21,9,21,30,32,75,9
2017-02-17,4,56,58,67,75,8
2017-02-14,7,11,33,60,68,15
2017-02-10,32,39,51,62,75,14
2017-02-07,23,28,37,56,71,12
2017-02-03,3,6,29,30,64,3
2017-01-31,3,14,27,62,72,4
2017-01-27,17,37,53,54,61,8
2017-01-24,8,42,54,63,67,11
2017-01-20,7,9,24,41,53,14
2017-01-17,20,31,54,56,59,3
2017-01-13,10,44,58,74,75,11
2017-01-10,11,20,40,41,59,15
2017-01-06,6,10,44,47,54,6
2017-01-03,14,16,23,49,53,12
2016-12-30,6,21,33,39,43,2
2016-12-27,2,28,30,38,39,11
2016-12-23,21,30,39,60,69,15
2016-12-20,1,12,14,48,65,2
2016-12-16,1,8,15,36,43,6
2016-12-13,2,15,26,34,41,14
2016-12-09,19,27,47,67,68,1
2016-12-06,13,34,48,53,63,12
2016-12-02,3,33,35,49,51,1
2016-11-29,22,33,49,51,59,8
2016-11-25,44,47,49,69,75,10
2016-11-22,1,43,45,66,69,7
2016-11-18,31,32,49,55,58,15
2016-11-15,9,17,23,57,71,6
2016-11-11,16,40,47,53,59,11
2016-11-08,46,48,53,61,74,12
2016-11-04,10,29,32,44,46,10
2016-11-01,19,24,31,39,45,13
2016-10-28,7,38,46,57,66,2
2016-10-25,8,9,24,49,67,13
2016-10-21,12,43,44,48,66,3
2016-10-18,7,24,28,65,74,1
2016-10-14,7,27,60,64,74,5
2016-10-11,36,39,42,45,48,3
2016-10-07,24,37,42,50,65,14
2016-10-04,18,29,30,54,66,1
2016-09-30,21,30,47,50,57,9
2016-09-27,14,16,26,53,72,4
2016-09-23,1,5,8,25,62,14
2016-09-20,2,22,34,62,72,2
2016-09-16,13,21,28,34,40,15
2016-09-13,6,15,17,39,56,15
2016-09-09,1,34,43,44,63,11
2016-09-06,25,37,58,69,75,8
2016-09-02,22,28,41,46,60,3
2016-08-30,28,32,41,51,71,11
2016-08-26,10,11,31,41,44,14
2016-08-23,2,7,46,61,66,1
2016-08-19,22,37,45,65,73,13
2016-08-16,2,43,52,62,63,6
2016-08-12,4,41,44,56,69,10
2016-08-09,12,19,20,44,66,1
2016-08-05,5,18,28,54,74,6
2016-08-02,3,12,36,54,70,12
2016-07-29,11,16,19,31,48,4
2016-07-26,1,4,31,36,54,9
2016-07-22,8,24,25,26,30,7
2016-07-19,3,34,54,65,66,4
2016-07-15,16,51,52,56,58,4
2016-07-12,6,8,22,46,68,4
2016-07-08,8,19,20,55,73,5
2016-07-05,29,46,53,64,73,10
2016-07-01,20,41,42,45,49,14
2016-06-28,15,17,20,35,55,7
2016-06-24,11,14,54,57,63,11
2016-06-21,6,13,21,49,50,10
2016-06-17,20,23,30,44,59,9
2016-06-14,36,37,38,52,62,6
2016-06-10,34,61,66,67,68,7
2016-06-07,25,48,51,65,72,4
2016-06-03,32,54,65,66,71,10
2016-05-31,9,31,34,41,49,8
2016-05-27,18,41,50,68,70,9
2016-05-24,11,50,51,70,75,15
2016-05-20,19,24,26,40,68,8
2016-05-17,17,24,27,48,75,6
2016-05-13,20,21,38,54,66,7
2016-05-10,12,22,46,56,74,4
2016-05-06,14,26,27,32,36,7
2016-05-03,28,29,33,36,45,15
2016-04-29,5,6,37,55,74,10
2016-04-26,14,16,17,28,48,2
2016-04-22,2,19,21,42,60,13
2016-04-19,9,28,40,57,65,2
2016-04-15,9,10,34,37,73,9
2016-04-12,7,11,59,62,63,3
2016-04-08,31,38,52,65,71,15
2016-04-05,13,45,52,53,57,10
2016-04-01,25,28,33,41,69,6
2016-03-29,33,38,40,46,49,15
2016-03-25,4,11,12,35,46,12
2016-03-22,6,19,34,38,70,5
2016-03-18,5,8,57,59,73,13
2016-03-15,18,26,30,44,68,7
2016-03-11,14,18,48,54,71,13
2016-03-08,27,37,54,66,69,5
2016-03-04,21,26,33,48,73,14
2016-03-01,1,29,33,34,55,6
2016-02-26,3,15,19,62,74,14
2016-02-23,16,32,39,53,57,10
2016-02-19,2,27,41,50,75,4
2016-02-16,9,31,33,46,64,4
2016-02-12,1,7,44,68,73,1
2016-02-09,3,42,46,56,71,13
2016-02-05,4,6,23,55,75,2
2016-02-02,7,13,25,51,70,9
2016-01-29,20,28,49,51,52,6
2016-01-26,14,27,39,50,69,2
2016-01-22,21,25,40,46,56,3
2016-01-19,2,17,31,39,47,9
2016-01-15,29,41,53,54,70,12
2016-01-12,15,27,29,31,48,15
2016-01-08,11,39,51,57,75,2
2016-01-05,1,4,36,48,57,13
2016-01-01,7,18,37,38,39,9
2015-12-29,20,25,55,62,74,7
2015-12-25,15,25,29,44,51,4
2015-12-22,11,21,40,50,70,15
2015-12-18,6,23,24,28,62,7
2015-12-15,18,25,47,51,61,5
2015-12-11,14,20,43,54,69,5
2015-12-08,7,17,37,49,73,15
2015-12-04,26,42,47,61,73,6
2015-12-01,5,7,25,50,59,12
2015-11-27,16,20,39,56,59,12
2015-11-24,2,19,30,38,70,8
2015-11-20,9,12,29,37,67,15
2015-11-17,12,14,18,24,61,10
2015-11-13,17,18,31,35,59,9
2015-11-10,8,17,20,45,71,4
2015-11-06,10,31,35,50,72,8
2015-11-03,16,29,44,69,74,12
2015-10-30,17,41,51,53,56,15
2015-10-27,9,26,27,29,74,4
2015-10-23,25,32,37,45,70,1
2015-10-20,6,25,35,38,52,4
2015-10-16,2,38,48,61,68,4
2015-10-13,7,9,24,38,52,1
2015-10-09,8,9,21,63,75,14
2015-10-06,17,58,63,64,66,13
2015-10-02,4,14,29,31,47,9
2015-09-29,8,21,30,61,62,9
2015-09-25,3,8,38,51,64,4
2015-09-22,28,30,38,45,51,8
2015-09-18,17,34,35,51,65,7
2015-09-15,7,20,35,49,56,9
2015-09-11,5,11,31,50,67,14
2015-09-08,19,20,36,41,46,7
2015-09-04,17,21,39,52,57,5
2015-09-01,2,5,35,40,54,13
2015-08-28,13,35,40,60,68,9
2015-08-25,5,44,54,59,63,1
2015-08-21,13,15,21,41,72,1
2015-08-18,2,7,33,39,53,9
2015-08-14,12,15,20,52,71,3
2015-08-11,3,8,29,57,68,8
2015-08-07,1,38,53,63,66,10
2015-08-04,2,19,44,51,57,14
2015-07-31,28,32,33,40,46,10
2015-07-28,8,35,61,68,75,15
2015-07-24,10,12,26,60,62,13
2015-07-21,20,30,62,65,74,1
2015-07-17,6,17,30,31,41,15
2015-07-14,19,24,30,35,72,5
2015-07-10,24,27,45,51,54,8
2015-07-07,6,15,16,28,49,14
2015-07-03,33,50,64,71,72,9
2015-06-30,11,17,34,43,50,15
2015-06-26,12,23,33,47,50,3
2015-06-23,6,13,38,56,70,2
2015-06-19,4,35,36,52,68,8
2015-06-16,8,19,26,56,67,14
2015-06-12,1,40,42,56,62,2
2015-06-09,6,16,17,25,36,7
2015-06-05,7,22,27,41,49,10
2015-06-02,2,9,11,22,23,12
2015-05-29,20,27,38,49,66,2
2015-05-26,1,39,52,69,72,12
2015-05-22,3,14,15,25,48,8
2015-05-19,10,12,21,29,65,10
2015-05-15,11,17,21,36,74,15
2015-05-12,14,30,33,36,44,2
2015-05-08,9,21,25,66,72,7
2015-05-05,11,21,42,62,71,7
2015-05-01,17,18,61,66,74,3
2015-04-28,22,27,55,58,63,11
2015-04-24,24,25,29,47,67,4
2015-04-21,31,33,35,41,69,11
2015-04-17,15,18,29,41,50,5
2015-04-14,3,7,25,68,71,3
2015-04-10,6,11,32,46,68,9
2015-04-07,5,15,22,26,64,6
2015-04-03,10,36,47,63,74,2
2015-03-31,8,26,41,61,73,11
2015-03-27,17,21,36,58,70,3
2015-03-24,2,23,32,45,55,12
2015-03-20,7,50,54,61,75,7
2015-03-17,11,27,44,45,58,3
2015-03-13,8,22,30,42,45,3
2015-03-10,10,14,19,30,73,14
2015-03-06,30,48,55,68,73,5
2015-03-03,9,11,42,44,50,3
2015-02-27,7,49,53,60,64,4
2015-02-24,15,23,26,45,66,4
2015-02-20,2,6,8,52,66,13
2015-02-17,6,45,50,65,66,1
2015-02-13,4,20,44,65,74,14
2015-02-10,7,42,53,58,71,15
2015-02-06,5,6,17,33,68,13
2015-02-03,11,22,25,58,69,13
2015-01-30,18,31,39,45,55,6
2015-01-27,5,26,27,44,57,7
2015-01-23,14,15,32,68,72,8
2015-01-20,31,35,56,59,63,6
2015-01-16,26,32,44,45,58,11
2015-01-13,12,20,25,50,51,7
2015-01-09,37,49,50,56,57,8
2015-01-06,12,20,27,38,75,4
2015-01-02,13,15,35,62,74,12
2014-12-30,3,7,44,63,67,12
2014-12-26,2,5,10,20,38,14
2014-12-23,4,10,31,56,66,7
2014-12-19,14,18,58,59,68,4
2014-12-16,41,58,68,72,73,1
2014-12-12,2,31,46,58,65,7
2014-12-09,27,45,49,51,52,14
2014-12-05,4,5,11,51,59,5
2014-12-02,13,18,22,49,62,11
2014-11-28,8,26,29,36,47,10
2014-11-25,10,11,29,47,56,4
2014-11-21,3,12,35,37,63,15
2014-11-18,37,39,53,68,75,6
2014-11-14,3,49,61,62,68,15
2014-11-11,23,25,28,30,75,11
2014-11-07,31,35,41,65,66,5
2014-11-04,9,15,24,39,41,1
2014-10-31,11,29,36,58,67,15
2014-10-28,3,50,57,58,60,11
2014-10-24,2,14,21,28,55,3
2014-10-21,5,35,37,41,66,11
2014-10-17,21,31,43,56,60,12
2014-10-14,11,37,46,64,68,15
2014-10-10,2,32,35,50,59,3
2014-10-07,16,29,46,48,55,2
2014-10-03,3,20,34,58,67,6
2014-09-30,3,16,52,54,61,6
2014-09-26,17,26,35,46,62,9
2014-09-23,21,24,25,40,43,12
2014-09-19,16,25,27,29,34,2
2014-09-16,25,45,51,53,73,2
2014-09-12,18,28,33,36,42,7
2014-09-09,25,34,55,70,71,1
2014-09-05,7,12,20,24,59,7
2014-09-02,1,8,54,69,72,1
2014-08-29,3,26,45,58,73,12
2014-08-26,29,31,51,60,64,1
2014-08-22,5,31,34,41,74,3
2014-08-19,22,39,56,67,71,15
2014-08-15,16,19,28,29,68,9
2014-08-12,32,53,60,63,68,6
2014-08-08,9,16,61,70,75,7
2014-08-05,25,28,36,45,53,6
2014-08-01,13,29,34,37,72,6
2014-07-29,2,8,16,43,74,1
2014-07-25,22,29,33,41,68,12
2014-07-22,14,18,22,31,47,15
2014-07-18,5,8,59,65,72,3
2014-07-15,2,4,17,36,40,5
2014-07-11,9,13,30,35,69,10
2014-07-08,14,25,27,48,49,9
2014-07-04,16,33,39,58,69,2
2014-07-01,9,22,38,47,49,15
2014-06-27,15,29,31,46,64,10
2014-06-24,13,17,24,47,65,10
2014-06-20,1,22,25,29,56,3
2014-06-17,10,14,24,47,60,3
2014-06-13,7,38,46,49,56,1
2014-06-10,2,10,24,26,74,7
2014-06-06,12,29,37,49,72,9
2014-06-03,19,28,62,66,74,6
2014-05-30,10,13,42,43,62,2
2014-05-27,1,6,10,46,58,13
2014-05-23,12,14,21,38,70,15
2014-05-20,10,40,63,64,69,7
2014-05-16,13,14,16,50,56,11
2014-05-13,37,46,48,70,74,1
2014-05-09,10,28,39,51,59,14
2014-05-06,18,20,27,48,51,5
2014-05-02,1,18,26,35,40,13
2014-04-29,7,43,59,61,66,3
2014-04-25,3,11,18,20,66,9
2014-04-22,2,18,19,49,50,1
2014-04-18,18,25,38,45,63,9
2014-04-15,4,39,46,47,70,13
2014-04-11,3,42,44,47,57,8
2014-04-08,35,36,41,60,71,3
2014-04-04,1,10,15,41,54,9
2014-04-01,10,23,68,74,75,9
2014-03-28,2,3,9,50,73,12
2014-03-25,19,26,51,57,73,15
2014-03-21,2,23,30,35,53,10
2014-03-18,11,19,24,33,51,7
2014-03-14,7,20,40,54,69,12
2014-03-11,9,14,56,57,69,10
2014-03-07,11,13,51,57,69,1
2014-03-04,10,29,31,35,45,10
2014-02-28,3,31,50,58,59,6
2014-02-25,12,18,25,35,66,15
2014-02-21,23,29,32,45,46,15
2014-02-18,23,29,31,37,70,14
2014-02-14,20,28,35,71,72,7
2014-02-11,43,64,67,71,73,4
2014-02-07,11,21,23,35,64,10
2014-02-04,25,44,49,60,73,9
2014-01-31,3,9,13,47,52,8
2014-01-28,7,16,28,53,60,2
2014-01-24,22,45,46,47,65,10
2014-01-21,8,23,33,45,52,4
2014-01-17,1,10,26,31,51,11
2014-01-14,4,23,26,62,69,13
2014-01-10,8,28,36,37,57,8
2014-01-07,13,34,56,62,64,6
2014-01-03,22,24,25,40,70,5
2013-12-31,8,12,34,52,58,8
2013-12-27,4,15,35,48,49,11
2013-12-24,23,34,53,58,73,2
2013-12-20,3,4,31,49,57,6
2013-12-17,8,14,17,20,39,7
2013-12-13,19,24,26,27,70,12
2013-12-10,5,12,22,41,65,13
2013-12-06,11,29,44,63,64,3
2013-12-03,7,12,41,44,59,3
2013-11-29,9,41,43,47,57,5
2013-11-26,27,44,59,74,75,3
2013-11-22,17,23,35,36,44,8
2013-11-19,14,15,29,49,63,2
2013-11-15,25,44,49,54,63,8
2013-11-12,20,30,32,42,71,15
2013-11-08,41,42,51,57,65,7
2013-11-05,2,11,42,64,74,2
2013-11-01,32,35,49,62,67,1
2013-10-29,20,33,50,53,54,7
